location_id,location_desc,longitude,latitude
9003,South,,
9001,Northeast,,
9,Connecticut,-72.64984095,41.56266102000046
11,District of Columbia,-77.036871,38.907192
10,Delaware,-75.57774117,39.008830667000495
12,Florida,-81.92896054,28.93204037700048
13,Georgia,-83.62758035,32.83968109300048
66,Guam,144.793731,13.444304
15,Hawaii,-157.8577494,21.304850435000446
19,Iowa,-93.81649056,42.46940091300047
16,Idaho,-114.36373,43.68263000500048
18,Indiana,-86.14996019,39.766910452000445
20,Kansas,-98.20078123,38.34774030000045
33,New Hampshire,-71.50036092,43.65595011300047
34,New Jersey,-74.27369129,40.13057004800049
32,Nevada,-117.0718406,39.493240390000494
36,New York,-75.54397043,42.82700103200045
39,Ohio,-82.40426006,40.06021014100048
41,Oregon,-120.1550313,44.56744942400047
49,Utah,-111.5871306,39.36070017100048
55,Wisconsin,-89.81637074,44.39319117400049
56,Wyoming,-108.1098304,43.23554134300048
30,Montana,-109.4244206,47.06652897200047
54,West Virginia,-80.71264013,38.66551020200046
22,Louisiana,-92.44568007,31.31266064400046
24,Maryland,-76.60926011,39.29058096400047
53,Washington,-120.4700108,47.52227862900048
47,Tennessee,-85.77449091,35.68094058000048
4,Arizona,-111.7638113,34.865970280000454
29,Missouri,-92.56630005,38.63579077600048
25,Massachusetts,-72.08269067,42.27687047000046
42,Pennsylvania,-77.86070029,40.79373015200048
51,Virginia,-78.45789046,37.54268067400045
5,Arkansas,-92.27449074,34.74865012400045
48,Texas,-99.42677021,31.827240407000488
31,Nebraska,-99.36572062,41.64104099
35,New Mexico,-106.240581,34.52088095200048
44,Rhode Island,-71.52247031,41.70828019300046
27,Minnesota,-94.7942005,46.35564873600049
50,Vermont,-72.51764079,43.62538123900049
23,Maine,-68.98503134,45.254228894000505
2,Alaska,-147.722059,64.84507995700051
21,Kentucky,-84.77497105,37.64597027100047
38,North Dakota,-100.118421,47.47531977900047
40,Oklahoma,-97.52107021,35.47203135600046
1,Alabama,-86.63186076,32.84057112200048
46,South Dakota,-100.3735306,44.35313005300048
17,Illinois,-88.99771018,40.48501028300046
45,South Carolina,-81.04537121,33.998821303000454
26,Michigan,-84.71439027,44.66131954
6,California,-120.9999995,37.63864012300047
37,North Carolina,-79.15925046,35.466220975000454
8,Colorado,-106.1336109,38.843840757000464
28,Mississippi,-89.53803082,32.745510099000455
9004,West,,
9002,Midwest,,
59,"United States, DC & Territories",,
72,Puerto Rico,-66.590149,18.220833
78,Virgin Islands,-64.896335,18.335765
